,crop,plot,trt,date_sensed,value,min,max,mean,count,crop varieties,planting density,value planting density,sowing date,days after sowing
62,Maize,3,Farmer Practice S,2018-01-02,ndvi,0.6412687301635742,0.7797590494155884,0.7058796377310633,1038,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,43
63,Maize,3,N-Rich strip,2018-01-12,ndvi,0.8238652944564819,0.8808727264404297,0.8519141060965402,70,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,53
64,Maize,3,Farmer Practice N,2018-01-12,ndvi,0.676506757736206,0.8814563751220703,0.8356870785175167,826,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,53
65,Maize,3,Farmer Practice S,2018-01-12,ndvi,0.7650536298751831,0.8656344413757324,0.8270176058789439,1038,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,53
66,Maize,3,N-Rich strip,2018-01-22,ndvi,0.8730550408363342,0.9090408682823181,0.8926131112234933,70,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,63
67,Maize,3,Farmer Practice N,2018-01-22,ndvi,0.7262528538703918,0.9109604954719543,0.8811229493369779,826,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,63
68,Maize,3,Farmer Practice S,2018-01-22,ndvi,0.8132814764976501,0.9075639247894287,0.8766869929025168,1038,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,63
69,Maize,3,N-Rich strip,2018-02-11,ndvi,0.9132996797561646,0.9328964948654175,0.9264528547014509,70,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,83
70,Maize,3,Farmer Practice N,2018-02-11,ndvi,0.8727512955665588,0.9403160214424133,0.9225023468239255,826,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,83
71,Maize,3,Farmer Practice S,2018-02-11,ndvi,0.8457661867141724,0.9338461756706238,0.9189895894486091,1038,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,83
72,Maize,3,N-Rich strip,2018-02-21,ndvi,0.9154694676399231,0.9348119497299194,0.9293939862932478,70,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,93
73,Maize,3,Farmer Practice N,2018-02-21,ndvi,0.8877463936805725,0.9394404292106628,0.9263638180046913,826,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,93
74,Maize,3,Farmer Practice S,2018-02-21,ndvi,0.8528992533683777,0.9348013997077942,0.923162677154835,1038,Caribu (Asgrow),"100,000",seeds ha-1,2017-11-20,93
75,Maize,4,N-Rich strip,2018-01-02,ndvi,0.9438505172729492,0.967972993850708,0.9583337490375226,104,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,64
76,Maize,4,Farmer Practice N,2018-01-02,ndvi,0.9131436347961426,0.9722714424133301,0.9547667248414294,1010,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,64
77,Maize,4,Farmer Practice S,2018-01-02,ndvi,0.7391868829727173,0.9688957929611206,0.9485462170811326,426,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,64
78,Maize,4,N-Rich strip,2018-01-12,ndvi,0.9237319231033325,0.9542627334594727,0.9441852569580078,104,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,74
79,Maize,4,Farmer Practice N,2018-01-12,ndvi,0.9184776544570923,0.9558209180831909,0.9426036268177599,1010,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,74
80,Maize,4,Farmer Practice S,2018-01-12,ndvi,0.7985720038414001,0.9546299576759338,0.9375452749046361,426,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,74
81,Maize,4,N-Rich strip,2018-01-22,ndvi,0.9231061339378357,0.9451876878738403,0.9391922583946815,104,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,84
82,Maize,4,Farmer Practice N,2018-01-22,ndvi,0.9050047397613525,0.9485148787498474,0.9373276512221534,1010,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,84
